artist,reviewauthor,score,releaseyear,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
OTHER,Jason Heller,6.6,2014.0,Ipecac,,0.5662666670000001,0.4044,5.666666667,-15.7956,0.053766667,0.37474,0.7842,0.146766667,0.231806667,118.14686670000002
OTHER,Mark Pytlik,8.5,2009.0,Astralwerks,Rock,0.426818182,0.478563636,5.6363636360000005,-10.43227273,0.040572727,0.331572727,0.094091675,0.167390909,0.240472727,136.9929091
OTHER,Sheldon Pearce,7.3,2018.0,OTHER,Rap,0.6787142859999999,0.790071429,4.571428571,-5.417571429,0.2938714289999999,0.108608571,1.86e-06,0.20965,0.473071429,125.9110714
OTHER,Stephen M. Deusner,8.8,1966.0,Capitol,Folk/Country,0.63505,0.44325,4.75,-10.61335,0.034385,0.606925,0.001788383,0.13876,0.73305,108.8372
OTHER,Andrew Gaerig,6.3,2011.0,Bpitch Control,Electronic,0.535857143,0.7544285709999999,4.857142857,-5.7271428570000005,0.047314286,0.027588857,0.239730857,0.0981,0.1938428569999999,135.2527143
OTHER,Scott Plagenhoef,9.4,2006.0,Vagrant,Rock,0.354076923,0.798461538,4.923076923,-5.440769231,0.1704307689999999,0.211825385,0.002178574,0.1984,0.53,126.4257692
OTHER,Ian Cohen,8.1,2012.0,OTHER,Electronic,0.5528333329999999,0.508416667,4.416666667,-8.725333333,0.04025,0.6028916670000001,0.2417125,0.1563916669999999,0.277391667,122.2976667
OTHER,Andrew Ryce,6.0,2014.0,OTHER,Electronic,0.491818182,0.558363636,4.272727273,-14.47345455,0.101054545,0.072874318,0.7490024000000001,0.246027273,0.321636364,119.833
OTHER,Mark Richardson,6.4,2006.0,Lo,Electronic,0.812,0.337,9.0,-10.418,0.0558,0.0038,0.435,0.0601,0.441,120.003
OTHER,Brian Howe,6.8,2006.0,Too Pure,Rock,0.5481,0.7221,7.0,-6.1196,0.03938,0.01877456,0.18427151,0.19738,0.6048,146.8348
OTHER,Amanda Petrusich,7.8,2003.0,Merge,Experimental,0.518153846,0.580230769,5.461538462,-7.653461537999999,0.030207692,0.329691862,0.178259484,0.201223077,0.487938462,118.0362308
OTHER,Evan Minsker,8.4,1977.0,OTHER,,0.41265,0.80625,4.55,-8.2155,0.04786,0.13010581,0.080270015,0.325925,0.73035,137.6067
OTHER,Adam Moerder,8.3,2006.0,OTHER,Rock,0.4045,0.42125,8.5,-10.9515,0.038025,0.63975,0.51154275,0.13975,0.1561,94.3415
OTHER,Grayson Currin,8.1,2012.0,Editions Mego,Metal,0.5791666670000001,0.726666667,4.416666667,-6.085166667,0.0500083329999999,0.088276917,9.27e-06,0.186133333,0.4688333329999999,124.14466670000002
OTHER,Ian Cohen,6.6,2009.0,OTHER,Metal,0.554071429,0.6952142859999999,4.785714286,-8.988642857,0.267107143,0.1754874789999999,1.35e-05,0.327707143,0.524,113.3727857
OTHER,Devon Maloney,7.3,2014.0,OTHER,,0.407166667,0.918,6.0,-2.907083333,0.0771,0.001460917,0.106736667,0.235491667,0.37175,124.92475
OTHER,Grayson Currin,7.9,2010.0,Western Vinyl,Rock,0.222583333,0.964416667,4.833333333,-4.78525,0.116958333,9.39e-06,0.235970833,0.234916667,0.238158333,112.1749167
Guided by Voices,OTHER,5.9,2016.0,OTHER,Rock,0.497866667,0.7128,5.066666667,-3.928266667,0.06408,0.23864106,0.094634476,0.198506667,0.4076133329999999,122.4955333
OTHER,Stacey Anderson,8.5,2016.0,Columbia,Rock,0.480333333,0.207111111,4.0,-17.78033333,0.056666667,0.7234444440000001,0.318651111,0.1138222219999999,0.266488889,97.62688889
OTHER,Andrew Gaerig,6.1,2013.0,OTHER,,0.643357143,0.641071429,4.428571429,-9.252928571,0.087307143,0.278871143,0.633021429,0.193228571,0.330271429,127.4317143
OTHER,Rob Mitchum,8.1,1977.0,Epic,Rock,0.4472941179999999,0.537176471,4.764705882,-10.31623529,0.042517647,0.388737059,0.039531707,0.238882353,0.488470588,116.59364709999998
OTHER,Eric Harvey,7.3,2009.0,OTHER,Rock,0.668583333,0.7915,3.0,-5.6645,0.0416833329999999,0.12242,0.161612153,0.138091667,0.683583333,116.1111667
OTHER,Neil Robertson,5.9,2003.0,OTHER,Rock,0.718,0.6829999999999999,6.0,-12.1165,0.0559,0.0352,0.8009999999999999,0.155,0.0656,129.999
OTHER,Joe Tangari,5.8,2006.0,Thrill Jockey,Experimental,0.211,0.691,2.0,-3.888,0.0455,0.00462,0.113,0.267,0.0472,145.66899999999998
OTHER,Nate Patrin,5.8,2008.0,Domino,Electronic,0.523384615,0.782076923,8.307692308,-6.338307692000001,0.1355,0.098458969,0.112464292,0.180215385,0.468230769,128.5369231
OTHER,Jayson Greene,7.3,2013.0,XL,Rock,0.534571429,0.522285714,4.785714286,-9.339571429,0.100907143,0.606735714,0.02054395,0.267207143,0.225628571,108.4305
Atmosphere,Kevin Adickes,7.3,2001.0,OTHER,Rap,0.714466667,0.6208,5.6,-6.796466667000001,0.340133333,0.114729333,0.000133832,0.206913333,0.6188,101.1756667
OTHER,Liz Colville,6.0,2007.0,OTHER,Rock,0.56425,0.58,4.416666667,-8.94275,0.040008333,0.240781,0.074127906,0.18825,0.411683333,116.222
OTHER,Ian Cohen,6.4,2013.0,OTHER,,0.7879999999999999,0.66,1.0,-6.17,0.0344,0.236,0.0,0.591,0.411,111.983
OTHER,Stephen M. Deusner,7.9,2011.0,Sub Pop,Rock,0.455727273,0.5920909089999999,3.909090909,-8.047181818,0.0358,0.174999182,0.297675727,0.1973181819999999,0.188527273,124.2882727
Saint Etienne,Marc Hogan,8.7,1994.0,Heavenly,Electronic,0.5245833329999999,0.7000833329999999,3.5,-10.04866667,0.052491667,0.205798953,0.384507801,0.120116667,0.4144833329999999,115.9135
OTHER,Harley Brown,6.6,2012.0,Partisan,,0.426,0.3379999999999999,7.0,-11.0206,0.0343199999999999,0.6635,0.01146832,0.15223,0.1896,104.2492
OTHER,Jessica Suarez,7.0,2007.0,Team Love,Rock,0.703,0.423,5.0,-8.708,0.0385,0.62,0.0075099999999999,0.118,0.642,77.994
OTHER,Sasha Geffen,9.1,1998.0,Parlophone,Rock,0.532882353,0.476041176,4.647058824,-12.77235294,0.048041176,0.512530053,0.498792479,0.292088235,0.377241176,113.7923529
OTHER,Chris Dahlen,7.8,2001.0,Hush,Folk/Country,0.53325,0.264833333,8.0,-14.59541667,0.115933333,0.835,0.18020441,0.186433333,0.177383333,118.85966670000002
OTHER,Marc Hogan,6.8,2005.0,Chemikal Underground,Rock,0.482210526,0.127615789,6.052631579,-20.85184211,0.087231579,0.924157895,4.39e-06,0.2173157889999999,0.421315789,106.9580526
