artist,reviewauthor,score,releaseyear,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
OTHER,OTHER,6.5,2016.0,Hyperdub,Pop/R&B,0.6466666670000001,0.579666667,8.0,-10.99066667,0.222333333,0.099433333,0.326022433,0.2196666669999999,0.2889,157.06533330000002
OTHER,Sam Chennault,8.1,2002.0,MCA,Rap,0.646125,0.76385,6.0,-6.664625,0.28415,0.1068401,0.04985735,0.1784875,0.655625,121.98025
OTHER,David Raposa,6.3,2010.0,OTHER,Folk/Country,0.655,0.498,9.0,-13.147,0.0479,0.0186,4.47e-06,0.139,0.508,162.861
OTHER,Jesse Weiss,6.8,2017.0,OTHER,Electronic,0.740583333,0.627583333,4.416666667,-11.69283333,0.054641667,0.157430833,0.8645,0.12695,0.505233333,130.3948333
OTHER,OTHER,7.3,2017.0,Legacy,Rock,0.434214286,0.8346428570000001,5.071428571,-5.635,0.0894428569999999,0.182553571,0.007227088,0.176857143,0.6108571429999999,133.2643571
OTHER,Mia Clarke,8.0,2008.0,Warp,Electronic,0.496142857,0.544428571,3.714285714,-10.26014286,0.065235714,0.431714286,0.3912787789999999,0.198528571,0.344885714,120.2453571
OTHER,Nate Patrin,7.7,2011.0,Hyperdub,Electronic,0.5760000000000001,0.485,6.0,-7.335,0.0383,0.175,0.000617,0.0994,0.359,93.716
OTHER,Julianne Escobedo Shepherd,7.4,2003.0,OTHER,Pop/R&B,0.4834,0.4026,5.1,-13.2352,0.04591,0.54782,0.3925889999999999,0.1579,0.29554,100.0369
OTHER,Michael Idov,5.1,2003.0,OTHER,,0.43575,0.575833333,4.0,-7.723083333,0.0324833329999999,0.067625667,0.110772263,0.193,0.401666667,110.81466670000002
OTHER,Stephen M. Deusner,8.0,2007.0,Plug Research,Rock,0.478545455,0.3901818179999999,5.181818182,-12.51990909,0.0328,0.578,0.315052345,0.1070181819999999,0.333545455,112.9299091
OTHER,Stephen M. Deusner,7.0,2004.0,OTHER,Folk/Country,0.491411765,0.540352941,7.705882353,-12.64917647,0.0387941179999999,0.198267941,0.4752084239999999,0.146982353,0.4465470589999999,116.1964706
OTHER,Matt LeMay,9.1,2001.0,OTHER,Electronic,0.4972,0.37458,4.2,-17.0016,0.06235,0.415638,0.7739,0.15984,0.23068,119.2402
OTHER,Cory D. Byrom,6.9,2005.0,OTHER,Electronic,0.512,0.764,1.0,-7.07,0.113,0.00337,0.236,0.7759999999999999,0.578,145.965
Xiu Xiu,Seth Colter Walls,6.4,2017.0,Polyvinyl,Experimental,0.579,0.5760000000000001,1.0,-8.375,0.1169999999999999,0.053,2.9100000000000003e-05,0.165,0.152,173.942
OTHER,Stuart Berman,8.0,2017.0,Light in the Attic,Rock,0.4663125,0.26939375,6.8125,-14.587,0.03445,0.708,0.627968431,0.1264125,0.1764125,116.244375
OTHER,Stuart Berman,7.4,2019.0,Mexican Summer,Electronic,0.575722222,0.431433333,4.555555556,-10.51611111,0.032966667,0.439444444,0.287707244,0.210877778,0.524911111,127.375
Dirty Projectors,Jason Crock,6.3,2006.0,OTHER,Rock,0.1183125,0.038781625,1.625,-32.681625,0.050625,0.93475,0.80179075,0.1447375,0.040775,113.10625
OTHER,Joe Tangari,7.2,2003.0,OTHER,Experimental,0.5479999999999999,0.591333333,7.666666667,-13.04633333,0.044066667,0.051376667,0.8603333329999999,0.407,0.5006666670000001,126.3203333
OTHER,Joshua Klein,5.7,2007.0,Merge,Rock,0.3505,0.743,7.9,-6.44,0.03172,0.075612986,0.337950291,0.1489,0.53,140.3567
OTHER,Kim Kelly,8.2,2012.0,OTHER,,0.18025,0.71825,3.75,-11.186,0.064575,0.000167302,0.86575,0.163925,0.09755,112.76175
OTHER,Rollie Pemberton,7.4,2003.0,OTHER,Rap,0.677666667,0.707277778,6.277777778,-8.204055556,0.341411111,0.378311111,0.055926787,0.2777,0.671055556,102.5140556
