artist,reviewauthor,score,releaseyear,recordlabel,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
OTHER,Tom Breihan,8.6,2011.0,Modular,Rock,0.513,0.797,6.090909091,-5.773454545,0.0423818179999999,0.067440273,0.370251727,0.311336364,0.4727272729999999,117.9169091
OTHER,Andy Beta,7.4,2015.0,Smalltown Supersound,Electronic,0.3453333329999999,0.8625555559999999,4.222222222,-6.300333332999999,0.056033333,0.073322222,0.24288046,0.7475555559999999,0.267733333,131.8036667
OTHER,Cory D. Byrom,6.7,2006.0,Interscope,Rock,0.3785,0.7345,4.9,-5.6625,0.03934,0.283358,0.01761859,0.14777,0.4633,118.8069
OTHER,Nate Patrin,7.0,2014.0,OTHER,Electronic,0.6249,0.6366,4.8,-6.9924,0.0592799999999999,0.2489,0.1796968,0.17573,0.48757,128.5699
OTHER,Hartley Goldstein,7.8,2004.0,V2,Rock,0.499818182,0.518545455,4.363636364,-8.756727273,0.033781818,0.375354545,0.328762082,0.243354545,0.284790909,117.0942727
OTHER,Jayson Greene,8.0,2013.0,Century Media,Metal,0.316,0.609741,6.75,-12.855625,0.097575,0.229394936,0.76125,0.16875,0.1427125,132.5505
OTHER,Zach Baron,8.3,2006.0,K,Pop/R&B,0.777,0.6004,4.5,-7.5932,0.09089,0.179676,0.04191749,0.14529,0.6033,135.9355
OTHER,Ian Cohen,6.0,2017.0,OTHER,Rock,0.4993571429999999,0.7092857140000001,5.5,-7.407857142999999,0.038035714,0.180825,0.212313176,0.182378571,0.418042857,136.7956429
OTHER,Nate Patrin,6.0,2012.0,OTHER,Electronic,0.4809,0.26082,6.5,-16.7107,0.04455,0.6856,0.8382,0.1139299999999999,0.23323,117.9768
OTHER,Saby Reyes-Kulkarni,6.4,2016.0,Profound Lore,Metal,0.432428571,0.862142857,6.285714286,-6.164428571,0.0596142859999999,0.000362289,0.452,0.114114286,0.240128571,132.96657140000002
OTHER,Zach Baron,6.1,2005.0,Troubleman Unlimited,Experimental,0.7020000000000001,0.943,2.0,-6.436,0.246,0.0173,0.0,0.118,0.623,114.189
OTHER,Joe Tangari,8.1,2006.0,OTHER,Rock,0.36225,0.95425,5.35,-7.1369,0.10519,0.0041027,0.3528205,0.339055,0.324725,125.6752
OTHER,Nitsuh Abebe,7.3,2005.0,Too Pure,Electronic,0.273692308,0.491246154,5.076923077,-14.00246154,0.049515385,0.200344108,0.7221769229999999,0.158530769,0.250646154,129.1009231
OTHER,Stephen M. Deusner,8.0,2009.0,Paper Bag,Rock,0.506923077,0.526384615,5.846153846,-8.158153846,0.038138462,0.2519,0.177331196,0.1818,0.375307692,114.8796154
OTHER,Scott Plagenhoef,7.8,2008.0,XL,Rock,0.78275,0.71,4.5,-4.00575,0.2575,0.159275,0.0,0.253375,0.35825,133.20575
OTHER,Stuart Berman,7.8,2008.0,Thrill Jockey,,0.324090909,0.620818182,6.272727272999999,-8.625363636,0.0317818179999999,0.324554545,0.094463121,0.100518182,0.309109091,110.9250909
Frog Eyes,Matt LeMay,9.1,2003.0,OTHER,Rock,0.27975,0.60925,6.75,-11.8515,0.046865,0.32996171,0.37609182,0.26739,0.36375,114.4389
OTHER,Adam Moerder,7.4,2006.0,Self-released,Rock,0.53,0.5359166670000001,4.5,-8.929583333,0.0344333329999999,0.400566667,0.1591070269999999,0.243725,0.61265,138.51725
OTHER,Stephen M. Deusner,7.7,2005.0,Kanine,Rock,0.289333333,0.860833333,4.416666667,-4.229083333,0.057675,0.072439029,0.2463715169999999,0.312083333,0.454691667,110.4303333
OTHER,Alison Fields,5.8,2002.0,Dischord,Metal,0.79,0.8435,2.0,-7.0225,0.07855,0.0064683,0.5975,0.06335,0.2682,127.0065
OTHER,William Bowers,8.3,1999.0,OTHER,Rock,0.429941176,0.801529412,6.294117647,-3.535529412,0.1054176469999999,0.586017647,0.268941324,0.2209,0.4462941179999999,109.8151765
OTHER,Stephen M. Deusner,7.8,2011.0,OTHER,Rock,0.5295,0.355625,4.875,-9.48625,0.0302625,0.45515,0.059300275,0.1235375,0.395175,108.30925
OTHER,Stephen M. Deusner,7.7,2005.0,Columbia,Folk/Country,0.7167,0.319355,5.85,-10.86785,0.0829049999999999,0.74855,0.002045639,0.19664,0.69175,118.0402
OTHER,Ryan Dombal,8.5,2011.0,Anti-,Pop/R&B,0.466,0.199614286,4.857142857,-20.01128571,0.041342857,0.7384285709999999,0.399142857,0.1830714289999999,0.247857143,136.14871430000002
OTHER,OTHER,8.8,1978.0,Arista,Rock,0.399090909,0.722727273,7.909090909,-7.007090909,0.101336364,0.202081818,0.006877425,0.225081818,0.432909091,130.1539091
OTHER,Cameron Cook,7.7,2018.0,OTHER,Rock,0.4095,0.19525,3.9,-13.7215,0.0377,0.6057,0.01636232,0.17636,0.29109,113.4737
William Basinski,Mark Richardson,10.0,2012.0,Temporary Residence,Experimental,0.2005,0.1668,2.5,-28.475,0.0372,0.959,0.894,0.0876,0.11345,83.7105
OTHER,Joe Tangari,7.6,2007.0,Daptone,Global,0.5757,0.8138,6.4,-5.1567,0.04475,0.0103112,0.8416,0.16416,0.6975,110.899
OTHER,OTHER,7.0,2017.0,Joyful Noise,Rock,0.46185,0.74235,4.35,-11.27325,0.0521549999999999,0.218952635,0.5282645,0.2219199999999999,0.308775,104.18775
OTHER,Jason Heller,7.4,2015.0,Sargent House,Metal,0.2626,0.9716,5.7,-4.0223,0.1356099999999999,9.8e-05,0.6334,0.25228,0.14869,117.876
OTHER,Brandon Stosuy,6.9,2005.0,Merge,Experimental,0.465,0.8328,3.8,-5.3419,0.04339,0.10550348,0.01419308,0.21655,0.5233,123.1443
OTHER,Rob Mitchum,3.0,2001.0,Vagrant,Rock,0.345818182,0.852545455,4.818181818,-5.734,0.088245455,0.000262845,0.005149745,0.207281818,0.295636364,146.0522727
OTHER,Stuart Berman,8.2,2011.0,Drag City,Rock,0.36045,0.6677649999999999,6.0,-11.1298,0.1068349999999999,0.22732809,0.322155255,0.15067,0.34956,107.9781
OTHER,Nick Neyland,7.4,2012.0,Hyperdub,,0.557,0.817125,2.375,-8.556625,0.0545875,0.317625,0.049909359,0.40275,0.90625,114.026125
OTHER,Stephen M. Deusner,7.6,2009.0,In the Red,Electronic,0.387285714,0.824357143,4.428571429,-6.933785714,0.050992857,0.114825643,0.069787984,0.283585714,0.6321428570000001,139.65057140000002
OTHER,Adam Moerder,5.8,2007.0,OTHER,,0.558571429,0.492785714,1.642857143,-10.00407143,0.082228571,0.533435714,0.116142186,0.1247785709999999,0.5325,136.3642143
OTHER,OTHER,6.1,2019.0,none,Experimental,0.409125,0.937,6.875,-3.200125,0.06735,0.00280825,0.000137905,0.29705,0.53975,106.747125
OTHER,Tom Breihan,6.9,2005.0,Rap-A-Lot,Rap,0.6988235290000001,0.7151764709999999,5.352941176,-4.589882353,0.329411765,0.0548381759999999,4.43e-06,0.222005882,0.595529412,94.11058824
OTHER,OTHER,10.0,1980.0,Sire,Rock,0.67075,0.6005,6.75,-14.94625,0.0524625,0.3301625,0.395540125,0.12765,0.7740875,118.85875
OTHER,Stephen M. Deusner,7.5,2008.0,OTHER,Rock,0.4393,0.74352,1.9,-5.5795,0.0632799999999999,0.1242115,4.14e-05,0.16949,0.456,134.2981
OTHER,Marc Masters,9.0,1990.0,OTHER,Rock,0.260145455,0.7406363640000001,5.272727273,-9.939909091,0.048463636,0.33559,0.5070190489999999,0.270090909,0.336727273,95.70318182
OTHER,Paul Thompson,6.5,2012.0,Polyvinyl,Rock,0.511,0.6456,5.5,-9.0157,0.03304,0.33513,0.152590784,0.18575,0.7764,130.0026
OTHER,Patrick St. Michel,7.0,2018.0,OTHER,Rock,0.503833333,0.624166667,6.833333333,-9.726166667,0.036366667,0.294216667,0.786666667,0.186533333,0.5821666670000001,148.69916669999998
Excepter,Brian Howe,7.6,2006.0,5RC,Experimental,0.46225,0.29025,6.0,-23.0735,0.1636,0.63825,0.92025,0.11325,0.077125,135.89525
OTHER,Arielle Gordon,6.5,2019.0,none,Rock,0.4124,0.7645,5.5,-7.1303,0.03941,0.0170493,0.136615455,0.18723,0.3957,115.1896
OTHER,Raymond Cummings,7.3,2017.0,OTHER,Electronic,0.14994,0.1388436,6.2,-20.3374,0.04464,0.833,0.905,0.09792,0.08602,81.94200000000001
OTHER,Joshua Klein,6.9,2008.0,OTHER,Rock,0.6465,0.5967,6.3,-9.1053,0.0459,0.41362,0.3643128,0.27091,0.4439,122.4102
OTHER,Grayson Currin,5.1,2007.0,OTHER,Electronic,0.504,0.10206,3.4,-19.9304,0.05678,0.9856,0.9264,0.1112,0.21666,105.1364
OTHER,Andy Beta,8.0,2016.0,OTHER,Global,0.7031666670000001,0.5076666670000001,4.333333333,-19.01216667,0.082133333,0.235478333,0.863666667,0.11805,0.682666667,115.25216670000002
OTHER,Ruth Saxelby,8.0,2012.0,OTHER,,0.6409999999999999,0.7140000000000001,11.0,-8.186,0.384,0.019,0.0,0.285,0.4029999999999999,138.049
OTHER,Peter Macia,8.0,2005.0,Matador,Metal,0.655611111,0.622111111,7.0,-12.9365,0.059194444,0.107524444,0.147410781,0.113577778,0.704472222,125.2856667
